review_id,aspect,sentiment_label,sentiment_score,aspect_cluster,mapped_aspect
0,view,neutral,0.926652,3,Location
1,thanks,positive,0.99493766,3,Service
1,option,positive,0.9956573,2,Worth
1,technology,positive,0.9978383,2,Service
1,experience,positive,0.98706436,3,Atmosphere
2,hightech,positive,0.9927226,1,Accomodation
2,hotel,positive,0.9976292,4,Location
2,service,positive,0.99778277,2,Service
4,experience,positive,0.99460334,3,Atmosphere
5,view,positive,0.9984964,3,Location
7,room,positive,0.99413896,4,Location
7,waterfall,positive,0.99649507,4,Amenities
7,dinner,positive,0.98334044,0,Food
7,breakfast,positive,0.99489164,0,Food
8,attraction,positive,0.9270565,4,Location
8,forest,positive,0.87909746,4,Location
8,waterfall,positive,0.9145299,4,Amenities
8,experience,positive,0.963741,3,Atmosphere
8,mat,positive,0.97079986,0,Hygiene
8,taxi,positive,0.9490699,4,Service
8,location,positive,0.97100216,4,Location
8,area,positive,0.95667493,4,Location
8,staff,positive,0.94694567,3,Service
8,vibe,positive,0.9644765,1,Atmosphere
8,road,positive,0.5582119,4,Location
9,nature,positive,0.9982784,3,Location
9,place,positive,0.9970022,3,Location
10,atmosphere,positive,0.9987431,3,Atmosphere
10,staff,positive,0.99838865,3,Service
11,staycation,positive,0.99443394,1,Accomodation
11,menu,positive,0.9984012,2,Food
11,breakfast,positive,0.99813783,0,Food
12,staff,positive,0.99795157,3,Service
13,receptionist,positive,0.9965341,1,Accomodation
13,place,positive,0.9985227,3,Location
14,place,positive,0.99845314,3,Location
16,air,positive,0.99859804,4,Service
16,location,positive,0.9981664,4,Location
16,place,positive,0.99810493,3,Location
18,location,positive,0.9774954,4,Location
18,cabin,positive,0.71865064,4,Amenities
27,experience,positive,0.9984536,3,Atmosphere
29,service,positive,0.9983329,2,Service
31,waterfall,positive,0.99001175,4,Amenities
31,area,positive,0.91898227,4,Location
31,room,positive,0.99015546,4,Location
31,garden,positive,0.7383813,4,Food
31,option,positive,0.9190486,2,Worth
31,place,positive,0.9553322,3,Location
32,cleanliness,positive,0.99844354,1,Hygiene
32,area,positive,0.99729663,4,Location
32,facility,positive,0.9982576,4,Location
32,service,positive,0.9981193,2,Service
32,place,positive,0.99798846,3,Location
32,stay,positive,0.99814737,3,Food
33,view,positive,0.99842274,3,Location
33,oxygen,positive,0.7579917,0,Atmosphere
34,waterfall,positive,0.7899026,4,Amenities
34,cabin,positive,0.9919533,4,Amenities
34,tranquility,positive,0.98747325,1,Atmosphere
34,tree,positive,0.9512348,4,Location
34,area,positive,0.9157058,4,Location
34,spot,positive,0.98872954,4,Location
34,garden,positive,0.9448415,4,Food
